SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-243993,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Medium Shrub,-693,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Small Shrub,6045,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-14114,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Small Shrub,1555,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Medium Shrub,-12002,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,1296,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-74610,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,2220,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-6875,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Large Tree,-1500,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Medium Tree,-680,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Small Tree,969,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-3086,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-207,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Large (~16-20yrs),-6135,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Medium (~16-20yrs),-9940,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Small (~11-15yrs),-9890,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Evergreen Small (~11-15yrs),-190,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees Existing To Protect,Deciduous Medium (~6-10yrs),-2175,kgCO₂e
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Protected,0,%
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Removed,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Impact,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Restored,0,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Removed,0,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Planting Impact,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Tres Planted,423,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Trees Removed,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Shrubs Planted,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Perennials Planted,12576,m2
Benefits,Water,Evapotranspiration,Average Annual Potential Evapotranspiration (ETo),1490,mm/yr
Benefits,Water,Landscape Water Use,Total Planted Area,0,m²
Benefits,Water,Landscape Water Use,Annual Baseline,0,L/y
Benefits,Water,Landscape Water Use,Maximum Water Allowance,0,L/yr
Benefits,Water,Landscape Water Use,Annual Site Water Usage,0,L/yr
Benefits,Water,Landscape Water Use,Reduction From Baseline,0,%
Benefits,Cooling,Heat Island,Severe Heat Area,0,
Benefits,Cooling,Shade,Broad Biome,0,
Benefits,Cooling,Shade,Total Area Shaded By Trees,32519,m²
Benefits,Cooling,Shade,Percentage of Site Shaded By Trees,55,%
Benefits,Cooling,Shade,Total Area of Shade Structures,0,m²
Benefits,Cooling,Shade,Percent of Area Shaded by Structures,0,%
Benefits,Equity,Overburdened and Underserved Communities,Underserved Community,0,
Benefits,Equity,Overburdened and Underserved Communities,Community Engagement,0,
